InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName,month,day_of_week,day_of_month
18_FURNESS_4806,18,4806,Leroux Blackberry Brandy,1.75L,1,14.99,14.99,2016-02-01,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
1_HARDERSFIELD_5390,1,5390,Dr McGillicuddy's Peach,50mL,2,1.98,0.99,2016-02-01,50,1,0.1,8004,SAZERAC CO INC             ,2,0,1
10_HORNSEY_8312,10,8312,Bols Curacao Orange,750mL,2,15.98,7.99,2016-02-01,750,1,1.57,6213,MHW LTD                    ,2,0,1
13_TARMSWORTH_3769,13,3769,Jenkins Vodka,1.75L,1,10.99,10.99,2016-02-01,1750,1,1.84,9552,M S WALKER INC             ,2,0,1
17_OLDHAM_3837,17,3837,Skyy Vodka,50mL,11,10.89,0.99,2016-02-01,50,1,0.58,11567,CAMPARI AMERICA            ,2,0,1
11_CARDEND_3763,11,3763,Patron Anejo Tequila,375mL,1,29.99,29.99,2016-02-01,375,1,0.39,9165,ULTRA BEVERAGE COMPANY LLP ,2,0,1
10_HORNSEY_7978,10,7978,M & R X Dry Vermouth,750mL,1,7.49,7.49,2016-02-01,750,1,0.79,480,BACARDI USA INC            ,2,0,1
18_FURNESS_31456,18,31456,Foxhorn SE Merlot Australia,1.5L,1,7.99,7.99,2016-02-01,1500,2,0.22,9815,WINE GROUP INC             ,2,0,1
1_HARDERSFIELD_8512,1,8512,Baileys Irish Cream,750mL,2,39.98,19.99,2016-02-01,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
10_HORNSEY_8096,10,8096,Beefeater Gin,50mL,1,1.99,1.99,2016-02-01,50,1,0.05,17035,PERNOD RICARD USA          ,2,0,1
17_OLDHAM_8338,17,8338,The Glenlivet 12 Yr Single,375mL,1,19.99,19.99,2016-02-01,375,1,0.39,17035,PERNOD RICARD USA          ,2,0,1
15_WANBORNE_4265,15,4265,Capt Morgan Spiced Rum,375mL,1,10.99,10.99,2016-02-01,375,1,0.39,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_3607,1,3607,Smirnoff Citrus Vodka,50mL,1,0.99,0.99,2016-02-01,50,1,0.05,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
18_FURNESS_14006,18,14006,Apothic Winemakers Red Blend,750mL,1,9.99,9.99,2016-02-01,750,2,0.11,3252,E & J GALLO WINERY         ,2,0,1
10_HORNSEY_4157,10,4157,Smirnoff Green Apple Vodka,50mL,3,2.97,0.99,2016-02-01,50,1,0.16,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_824,1,824,Dewars White Label Scotch,Liter,1,26.99,26.99,2016-02-01,1000,1,1.05,480,BACARDI USA INC            ,2,0,1
13_TARMSWORTH_8053,13,8053,Seagrams 7 Crown,50mL,3,2.97,0.99,2016-02-01,50,1,0.16,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
15_WANBORNE_19453,15,19453,Wente Southern Hill Cab Svgn,750mL,1,13.99,13.99,2016-02-01,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE ,2,0,1
10_HORNSEY_46599,10,46599,Primaterra Primitivo,750mL,2,19.98,9.99,2016-02-01,750,2,0.22,10754,PERFECTA WINES             ,2,0,1
10_HORNSEY_8726,10,8726,Baileys Irish Cream,50mL,4,7.96,1.99,2016-02-01,50,1,0.21,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
18_FURNESS_2037,18,2037,Jim Beam Honey,50mL,2,1.98,0.99,2016-02-01,50,1,0.1,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_3643,15,3643,Caldwells Vodka,1.75L,1,10.49,10.49,2016-02-01,1750,1,1.84,9552,M S WALKER INC             ,2,0,1
10_HORNSEY_2783,10,2783,Lauders Scotch,1.75L,1,14.99,14.99,2016-02-01,1750,1,1.84,660,SAZERAC NORTH AMERICA INC. ,2,0,1
1_HARDERSFIELD_3637,1,3637,Zhenka Vodka Plastic,750mL,9,47.61,5.29,2016-02-01,750,1,7.09,9552,M S WALKER INC             ,2,0,1
10_HORNSEY_4528,10,4528,Remy Martin XO Cognac,750mL,1,159.99,159.99,2016-02-01,750,1,0.79,7239,REMY COINTREAU USA INC     ,2,0,1
10_HORNSEY_4261,10,4261,Capt Morgan Spiced Rum,1.75L,17,373.83,21.99,2016-02-01,1750,1,31.24,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
12_LEESIDE_17177,12,17177,Beringer Classic Merlot,1.5L,1,9.99,9.99,2016-02-01,1500,2,0.22,9819,TREASURY WINE ESTATES      ,2,0,1
1_HARDERSFIELD_8670,1,8670,Arrow Coffee Brandy,1.75L,2,23.98,11.99,2016-02-01,1750,1,3.67,8352,LUXCO INC                  ,2,0,1
11_CARDEND_17345,11,17345,Bogle Essential Red,750mL,1,10.99,10.99,2016-02-01,750,2,0.11,4425,MARTIGNETTI COMPANIES,2,0,1
12_LEESIDE_3345,12,3345,Bombay Sapphire Gin,50mL,4,7.96,1.99,2016-02-01,50,1,0.21,480,BACARDI USA INC            ,2,0,1
13_TARMSWORTH_15892,13,15892,Red Guitar Sangria,750mL,2,11.98,5.99,2016-02-01,750,2,0.22,1392,CONSTELLATION BRANDS INC   ,2,0,1
14_BROMWICH_14930,14,14930,Yellow Tail Moscato,1.5L,1,14.99,14.99,2016-02-01,1500,2,0.22,4425,MARTIGNETTI COMPANIES,2,0,1
16_LUNDY_2120,16,2120,Canadian Club,1.75L,4,59.96,14.99,2016-02-01,1750,1,7.35,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_3489,10,3489,Tanqueray,1.75L,1,29.99,29.99,2016-02-01,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
10_HORNSEY_5382,10,5382,Ice 101 Peppermint Schnapps,750mL,1,11.99,11.99,2016-02-01,750,1,0.79,8004,SAZERAC CO INC             ,2,0,1
11_CARDEND_1663,11,1663,Jim Beam Maple,50mL,5,4.95,0.99,2016-02-01,50,1,0.26,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
13_TARMSWORTH_31915,13,31915,F Coppola Diamond Chard,750mL,1,9.95,9.95,2016-02-01,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE ,2,0,1
1_HARDERSFIELD_6983,1,6983,J Lohr Seven Oaks Cab Svgn,750mL,1,18.99,18.99,2016-02-01,750,2,0.11,4425,MARTIGNETTI COMPANIES,2,0,1
15_WANBORNE_3321,15,3321,Rosita Tequila Gold,Liter,1,9.29,9.29,2016-02-01,1000,1,1.05,3924,HEAVEN HILL DISTILLERIES   ,2,0,1
1_HARDERSFIELD_3125,1,3125,Pinnacle Strawbery Shortcake,750mL,1,9.49,9.49,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
1_HARDERSFIELD_24666,1,24666,Salviano Orvieto 13 Clsco,750mL,1,7.99,7.99,2016-02-01,750,2,0.11,4692,KOBRAND CORPORATION        ,2,0,1
17_OLDHAM_5391,17,5391,Kamora Coffee,1.75L,2,31.98,15.99,2016-02-01,1750,1,3.67,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_10058,15,10058,F Coppola Dmd Ivry Cab Svgn,750mL,3,38.85,12.95,2016-02-01,750,2,0.34,2000,SOUTHERN WINE & SPIRITS NE ,2,0,1
10_HORNSEY_4413,10,4413,Casamigos Blanco,50mL,2,3.98,1.99,2016-02-01,50,1,0.1,6213,MHW LTD                    ,2,0,1
12_LEESIDE_3802,12,3802,Three Olives Vodka,1.75L,1,17.99,17.99,2016-02-01,1750,1,1.84,7245,PROXIMO SPIRITS INC.       ,2,0,1
14_BROMWICH_24020,14,24020,Rosenblum Vntr Cve XXX Znfdl,750mL,2,21.98,10.99,2016-02-01,750,2,0.22,1590,DIAGEO CHATEAU ESTATE WINES,2,0,1
10_HORNSEY_824,10,824,Dewars White Label Scotch,Liter,1,26.99,26.99,2016-02-01,1000,1,1.05,480,BACARDI USA INC            ,2,0,1
17_OLDHAM_6420,17,6420,R M Woodbridge Chard Cal,750mL,3,23.97,7.99,2016-02-01,750,2,0.34,1392,CONSTELLATION BRANDS INC   ,2,0,1
15_WANBORNE_361,15,361,Effen Cucumber Vodka,750mL,1,24.99,24.99,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
13_TARMSWORTH_1233,13,1233,Jack Daniels No 7 Black,1.75L,4,143.96,35.99,2016-02-01,1750,1,7.35,1128,BROWN-FORMAN CORP          ,2,0,1
15_WANBORNE_11828,15,11828,Cupcake Svgn Bl,750mL,2,15.98,7.99,2016-02-01,750,2,0.22,9815,WINE GROUP INC             ,2,0,1
15_WANBORNE_2105,15,2105,Black Velvet Toasted Caramel,750mL,1,9.99,9.99,2016-02-01,750,1,0.79,1392,CONSTELLATION BRANDS INC   ,2,0,1
1_HARDERSFIELD_5734,1,5734,Malibu Rum,1.75L,2,43.98,21.99,2016-02-01,1750,1,3.67,17035,PERNOD RICARD USA          ,2,0,1
14_BROMWICH_5246,14,5246,Bacardi Party Drinks Zombie,1.75L,1,15.99,15.99,2016-02-01,1750,1,1.84,480,BACARDI USA INC            ,2,0,1
1_HARDERSFIELD_2120,1,2120,Canadian Club,1.75L,6,89.94,14.99,2016-02-01,1750,1,11.02,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
13_TARMSWORTH_6876,13,6876,Sutter Home Clsc Chard,187mL 4 Pk,1,5.99,5.99,2016-02-01,187,2,0.03,8892,TRINCHERO FAMILY ESTATES   ,2,0,1
1_HARDERSFIELD_6595,1,6595,Bogle Merlot,750mL,2,19.98,9.99,2016-02-01,750,2,0.22,4425,MARTIGNETTI COMPANIES,2,0,1
14_BROMWICH_5447,14,5447,Jagermeister Liqueur,375mL,1,9.99,9.99,2016-02-01,375,1,0.39,3089,SIDNEY FRANK IMPORTING CO  ,2,0,1
1_HARDERSFIELD_5536,1,5536,St Brendans Irish Cream,50mL,2,2.98,1.49,2016-02-01,50,1,0.1,8352,LUXCO INC                  ,2,0,1
15_WANBORNE_3981,15,3981,Three Olives Berry Vodka,750mL,1,11.99,11.99,2016-02-01,750,1,0.79,7245,PROXIMO SPIRITS INC.       ,2,0,1
11_CARDEND_1276,11,1276,Jack Daniels Single Barrel,50mL,1,4.99,4.99,2016-02-01,50,1,0.05,1128,BROWN-FORMAN CORP          ,2,0,1
10_HORNSEY_3837,10,3837,Skyy Vodka,50mL,19,18.81,0.99,2016-02-01,50,1,1.0,11567,CAMPARI AMERICA            ,2,0,1
10_HORNSEY_4437,10,4437,Mount Gay Eclipse,1.75L,1,33.99,33.99,2016-02-01,1750,1,1.84,7239,REMY COINTREAU USA INC     ,2,0,1
12_LEESIDE_3726,12,3726,Gilbeys Vodka Traveler,750mL,2,9.98,4.99,2016-02-01,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_21032,10,21032,Taylor Fladgate 10-Yr Tawny,750mL,1,23.99,23.99,2016-02-01,750,2,0.11,4692,KOBRAND CORPORATION        ,2,0,1
1_HARDERSFIELD_8576,1,8576,E & J Brandy VS,375mL,1,4.99,4.99,2016-02-01,375,1,0.39,3252,E & J GALLO WINERY         ,2,0,1
12_LEESIDE_8203,12,8203,Grand Marnier,50mL,1,2.99,2.99,2016-02-01,50,1,0.05,8112,MOET HENNESSY USA INC      ,2,0,1
17_OLDHAM_6595,17,6595,Bogle Merlot,750mL,1,9.99,9.99,2016-02-01,750,2,0.11,4425,MARTIGNETTI COMPANIES,2,0,1
1_HARDERSFIELD_5394,1,5394,Goldschlager Cinnamon Schnap,375mL,2,21.98,10.99,2016-02-01,375,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
13_TARMSWORTH_8345,13,8345,R M Woodbridge Cab Svgn Cal,750mL,1,7.99,7.99,2016-02-01,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,2,0,1
10_HORNSEY_1375,10,1375,Jim Beam,750mL,2,28.98,14.49,2016-02-01,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
11_CARDEND_3859,11,3859,Smirnoff 80 Proof,375mL,1,8.99,8.99,2016-02-01,375,1,0.39,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_1178,1,1178,Evan Williams Black Label B,750mL,2,19.98,9.99,2016-02-01,750,1,1.57,3924,HEAVEN HILL DISTILLERIES   ,2,0,1
17_OLDHAM_8970,17,8970,Ice Box Manhattan,1.75L,2,19.98,9.99,2016-02-01,1750,1,3.67,8004,SAZERAC CO INC             ,2,0,1
1_HARDERSFIELD_1112,1,1112,Ardbeg Exploration Pk +50mls,750mL,1,46.99,46.99,2016-02-01,750,1,0.79,8112,MOET HENNESSY USA INC      ,2,0,1
1_HARDERSFIELD_5297,1,5297,Southern Comfort,750mL,1,13.99,13.99,2016-02-01,750,1,0.79,1128,BROWN-FORMAN CORP          ,2,0,1
1_HARDERSFIELD_6081,1,6081,Kinky Blue Liqueur,50mL,2,3.98,1.99,2016-02-01,50,1,0.1,7153,PINE STATE TRADING CO      ,2,0,1
15_WANBORNE_8401,15,8401,Bols Blue Curacao,Liter,1,10.99,10.99,2016-02-01,1000,1,1.05,6213,MHW LTD                    ,2,0,1
1_HARDERSFIELD_4241,1,4241,Capt Morgan Spiced Rum,50mL,1,1.99,1.99,2016-02-01,50,1,0.05,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
15_WANBORNE_32648,15,32648,Beringer Classic Wh Znfdl,1.5L,1,9.99,9.99,2016-02-01,1500,2,0.22,9819,TREASURY WINE ESTATES      ,2,0,1
14_BROMWICH_5765,14,5765,Jose Cuervo Lime Margarita,1.75L,1,13.99,13.99,2016-02-01,1750,1,1.84,7245,PROXIMO SPIRITS INC.       ,2,0,1
14_BROMWICH_4226,14,4226,Bacardi Superior Rum Trav,750mL,1,11.99,11.99,2016-02-01,750,1,0.79,480,BACARDI USA INC            ,2,0,1
16_LUNDY_7224,16,7224,Jagermeister Spice,750mL,1,15.99,15.99,2016-02-01,750,1,0.79,3089,SIDNEY FRANK IMPORTING CO  ,2,0,1
17_OLDHAM_4327,17,4327,Capt Morgan Spiced Rum 100,750mL,1,19.99,19.99,2016-02-01,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
11_CARDEND_3687,11,3687,Fleischmanns Royal Traveler,750mL,2,9.98,4.99,2016-02-01,750,1,1.57,660,SAZERAC NORTH AMERICA INC. ,2,0,1
16_LUNDY_3804,16,3804,Svedka Vodka,750mL,1,9.99,9.99,2016-02-01,750,1,0.79,1392,CONSTELLATION BRANDS INC   ,2,0,1
10_HORNSEY_2037,10,2037,Jim Beam Honey,50mL,1,0.99,0.99,2016-02-01,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_2302,10,2302,St George Botanivore Gin,750mL,1,29.99,29.99,2016-02-01,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,2,0,1
13_TARMSWORTH_10596,13,10596,Almaden Mt Rhine Calif B/B,5L,1,14.99,14.99,2016-02-01,5000,2,0.75,9815,WINE GROUP INC             ,2,0,1
13_TARMSWORTH_4135,13,4135,Smirnoff Blueberry Vodka,50mL,13,12.87,0.99,2016-02-01,50,1,0.68,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
10_HORNSEY_38652,10,38652,Carpineto Chianti Clsc RSV,750mL,1,21.99,21.99,2016-02-01,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP ,2,0,1
11_CARDEND_6855,11,6855,Midnight Moon Apple Pie,750mL,1,19.99,19.99,2016-02-01,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,2,0,1
1_HARDERSFIELD_2164,1,2164,New Amsterdam Gin,1.75L,1,16.99,16.99,2016-02-01,1750,1,1.84,3252,E & J GALLO WINERY         ,2,0,1
15_WANBORNE_24768,15,24768,Vinsacro Rioja,750mL,1,15.99,15.99,2016-02-01,750,2,0.11,10754,PERFECTA WINES             ,2,0,1
12_LEESIDE_27854,12,27854,F Coppola Black Label Claret,750mL,1,12.95,12.95,2016-02-01,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE ,2,0,1
1_HARDERSFIELD_23739,1,23739,Liberty School Cab Svgn,750mL,2,23.9,11.95,2016-02-01,750,2,0.22,4425,MARTIGNETTI COMPANIES,2,0,1
19_WINTERVALE_1634,19,1634,The Famous Grouse,1.75L,1,29.99,29.99,2016-02-01,1750,1,1.84,2561,EDRINGTON AMERICAS         ,2,0,1
11_CARDEND_46447,11,46447,Gascon Malbec Mendoza,750mL,1,10.99,10.99,2016-02-01,750,2,0.11,3252,E & J GALLO WINERY         ,2,0,1
13_TARMSWORTH_4130,13,4130,Kraken Black Spiced Rum,375mL,1,8.99,8.99,2016-02-01,375,1,0.39,7245,PROXIMO SPIRITS INC.       ,2,0,1
17_OLDHAM_1355,17,1355,Knob Creek Bourbon,50mL,1,3.49,3.49,2016-02-01,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_11320,15,11320,Edna Valley Paragon Svgn Bl,750mL,1,11.99,11.99,2016-02-01,750,2,0.11,3252,E & J GALLO WINERY         ,2,0,1
10_HORNSEY_3362,10,3362,Poland Spring Gin,Liter,1,5.99,5.99,2016-02-01,1000,1,1.05,9552,M S WALKER INC             ,2,0,1
17_OLDHAM_4195,17,4195,Calico Jack Spiced Rum No 94,750mL,1,10.99,10.99,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_5847,10,5847,Godiva Chocolate Liqueur,750mL,1,21.99,21.99,2016-02-01,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
11_CARDEND_3038,11,3038,Zhenka Raspberry Vodka,1.75L,1,10.99,10.99,2016-02-01,1750,1,1.84,9552,M S WALKER INC             ,2,0,1
15_WANBORNE_2496,15,2496,Crown Royal Black,1.75L,1,52.99,52.99,2016-02-01,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
16_LUNDY_1892,16,1892,Yukon Jack,50mL,2,1.98,0.99,2016-02-01,50,1,0.1,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
1_HARDERSFIELD_4224,1,4224,Goslings Black Seal Rum 80,750mL,1,15.99,15.99,2016-02-01,750,1,0.79,1485,CASTLE BRANDS CORP.        ,2,0,1
14_BROMWICH_3745,14,3745,Taaka Vodka Traveler,750mL,3,14.97,4.99,2016-02-01,750,1,2.36,8004,SAZERAC CO INC             ,2,0,1
19_WINTERVALE_3502,19,3502,Pinnacle Vodka,750mL,1,12.99,12.99,2016-02-01,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
15_WANBORNE_32749,15,32749,Brancott Svgn Bl Marlboro,750mL,6,59.94,9.99,2016-02-01,750,2,0.68,17035,PERNOD RICARD USA          ,2,0,1
11_CARDEND_27854,11,27854,F Coppola Black Label Claret,750mL,4,51.8,12.95,2016-02-01,750,2,0.45,2000,SOUTHERN WINE & SPIRITS NE ,2,0,1
1_HARDERSFIELD_31160,1,31160,Monsanto Chianti Clsc RSV,750mL,2,43.98,21.99,2016-02-01,750,2,0.22,9552,M S WALKER INC             ,2,0,1
11_CARDEND_5616,11,5616,Emmets Irish Cream,1.75L,1,19.99,19.99,2016-02-01,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
11_CARDEND_36473,11,36473,The Crossings Svgn Bl Marlbo,750mL,1,13.99,13.99,2016-02-01,750,2,0.11,4425,MARTIGNETTI COMPANIES,2,0,1
1_HARDERSFIELD_2628,1,2628,Dewars Special RSV 12-Yr,750mL,1,31.99,31.99,2016-02-01,750,1,0.79,480,BACARDI USA INC            ,2,0,1
1_HARDERSFIELD_3511,1,3511,New Amsterdam Vodka,750mL,2,21.98,10.99,2016-02-01,750,1,1.57,3252,E & J GALLO WINERY         ,2,0,1
10_HORNSEY_1232,10,1232,Jack Daniels No 7 Black,750mL,1,22.99,22.99,2016-02-01,750,1,0.79,1128,BROWN-FORMAN CORP          ,2,0,1
10_HORNSEY_1233,10,1233,Jack Daniels No 7 Black,1.75L,1,35.99,35.99,2016-02-01,1750,1,1.84,1128,BROWN-FORMAN CORP          ,2,0,1
11_CARDEND_8236,11,8236,Jim Beam,50mL,3,4.47,1.49,2016-02-01,50,1,0.16,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_7302,10,7302,Marques de Caceres Rioja Re,750mL,1,10.99,10.99,2016-02-01,750,2,0.11,1587,VINEYARD BRANDS INC        ,2,0,1
15_WANBORNE_8016,15,8016,La Vieille Ferme Wh Rhone,750mL,2,13.98,6.99,2016-02-01,750,2,0.22,1587,VINEYARD BRANDS INC        ,2,0,1
12_LEESIDE_3804,12,3804,Svedka Vodka,750mL,3,29.97,9.99,2016-02-01,750,1,2.36,1392,CONSTELLATION BRANDS INC   ,2,0,1
15_WANBORNE_20725,15,20725,Chronic Cellars Purple Parad,750mL,1,14.99,14.99,2016-02-01,750,2,0.11,7153,PINE STATE TRADING CO      ,2,0,1
17_OLDHAM_79,17,79,Three Olives Loopy Vodka,750mL,2,29.98,14.99,2016-02-01,750,1,1.57,7245,PROXIMO SPIRITS INC.       ,2,0,1
1_HARDERSFIELD_4916,1,4916,Mr Boston Coffee Brandy,1.75L,1,9.99,9.99,2016-02-01,1750,1,1.84,660,SAZERAC NORTH AMERICA INC. ,2,0,1
13_TARMSWORTH_4261,13,4261,Capt Morgan Spiced Rum,1.75L,6,131.94,21.99,2016-02-01,1750,1,11.02,3960,DIAGEO NORTH AMERICA INC   ,2,0,1
10_HORNSEY_23095,10,23095,Glen Ellen Cab Svgn RSV,1.5L,6,41.94,6.99,2016-02-01,1500,2,1.35,9815,WINE GROUP INC             ,2,0,1
15_WANBORNE_3696,15,3696,Gilbeys Vodka,1.75L,2,21.98,10.99,2016-02-01,1750,1,3.67,12546,JIM BEAM BRANDS COMPANY    ,2,0,1
10_HORNSEY_4246,10,4246,Bacardi Superior Rum,375mL,1,7.99,7.99,2016-02-01,375,1,0.39,480,BACARDI USA INC            ,2,0,1
10_HORNSEY_3760,10,3760,Absolut Pears,750mL,1,17.99,17.99,2016-02-01,750,1,0.79,17035,PERNOD RICARD USA          ,2,0,1
16_LUNDY_4267,16,4267,Bacardi Limon Rum,1.75L,1,23.99,23.99,2016-02-01,1750,1,1.84,480,BACARDI USA INC            ,2,0,1
